Distance,Velocity
0,3.447471857
517.4373449,3.550914764
1034.87469,3.727636814
1552.312035,4.253962517
2069.74938,4.461828232
2587.186724,4.601159096
3104.624069,4.499663353
3622.061414,4.83849287
4139.498759,5.299133301
4656.936104,5.824879646
5174.373449,5.714820862
5691.810794,5.458897114
6209.248139,5.55429554
6726.685483,5.598024368
7244.122828,5.604489803
7761.560173,5.803658962
8278.997518,5.858309746
8796.434863,5.614637852
9313.872208,5.601485252
9831.309553,6.341630936
10348.7469,7.298394203
10866.18424,8.88066864
11383.62159,15.90376949
11901.05893,53.11171341
12418.49628,107.5690536
12935.93362,164.2421875
13453.37097,222.9875183
13970.80831,257.4117126
14488.24566,280.5511169
15005.683,294.8583984
15523.12035,305.0849304
16040.55769,312.608551
16557.99504,318.6804199
17075.43238,324.1135864
17592.86973,329.6116333
18110.30707,333.877594
18627.74442,337.9676514
19145.18176,341.7176514
19662.61911,345.1933594
20180.05645,347.8926697
20697.4938,351.0649109
21214.93114,353.961853
21732.36848,357.9344177
22249.80583,361.4431458
22767.24317,365.0588989
23284.68052,368.9580383
23802.11786,375.7303467
24319.55521,380.4809875
24836.99255,384.3288269
25354.4299,388.7176514
25871.86724,394.509613
26389.30459,398.3794861
26906.74193,402.1166382
27424.17928,408.1774292
27941.61662,411.7302246
28459.05397,415.0576172
28976.49131,417.9093628
29493.92866,421.4623108
30011.366,424.1049805
30528.80335,425.8713684
31046.24069,427.2258606
31563.67804,428.7841492
32081.11538,430.4695435
32598.55273,431.7036743
33115.99007,432.3599243
33633.42742,433.1377258
34150.86476,433.880127
34668.30211,434.3629761
35185.73945,434.9515381
35703.1768,436.2846375
36220.61414,437.451416
36738.05149,438.6969299
37255.48883,439.6626892
37772.92618,439.8817444
38290.36352,439.6810913
38807.80087,438.777771
39325.23821,436.8935547
39842.67556,435.3374023
40360.1129,433.4137573
40877.55025,432.0402527
41394.98759,430.2074585
41912.42494,428.5392456
42429.86228,425.9452515
42947.29962,423.3858948
43464.73697,418.8409119
43982.17431,417.5531921
44499.61166,417.0971375
45017.049,416.8282471
45534.48635,416.2642517
46051.92369,416.0659485
46569.36104,415.2097473
47086.79838,414.0272522
47604.23573,411.980896
48121.67307,410.7168884
48639.11042,409.3273315
49156.54776,407.578186
49673.98511,404.7348633
50191.42245,401.574707
50708.8598,398.8486633
51226.29714,396.6741638
51743.73449,394.4854431
52261.17183,391.777771
52778.60918,389.2934265
53296.04652,386.2165527
53813.48387,383.1044006
54330.92121,380.5609436
54848.35856,379.0118713
55365.7959,376.8190308
55883.23325,374.2304993
56400.67059,371.495575
56918.10794,369.2313232
57435.54528,368.535614
57952.98263,367.584137
58470.41997,365.9800415
58987.85732,364.2758484
59505.29466,362.8833618
60022.73201,361.5838623
60540.16935,360.6783447
61057.6067,359.7693481
61575.04404,358.9019165
62092.48139,358.5217896
62609.91873,357.6641235
63127.35608,356.4702148
63644.79342,354.7469177
64162.23077,353.2315369
64679.66811,351.6767273
65197.10545,350.1770935
65714.5428,348.9193726
66231.98014,347.4404907
66749.41749,346.0959167
67266.85483,345.090332
67784.29218,343.3309631
68301.72952,341.3841858
68819.16687,339.2588501
69336.60421,337.2143555
69854.04156,335.6075439
70371.4789,334.1233826
70888.91625,332.5374146
71406.35359,331.1024475
71923.79094,329.6754761
72441.22828,328.9735413
72958.66563,328.1395569
73476.10297,326.8482056
73993.54032,325.5267639
74510.97766,324.0657043
75028.41501,321.9416199
75545.85235,317.0018005
76063.2897,311.8435974
76580.72704,303.7503052
77098.16439,292.1570129
77615.60173,270.2403564
78133.03908,249.8904114
78650.47642,226.4249268
79167.91377,198.7468872
79685.35111,150.0990143
80202.78846,108.4743042
80720.2258,73.7628479
81237.66315,28.74128342
81755.10049,12.48011017
82272.53784,8.606479645
82789.97518,8.006139755
83307.41253,8.280184746
83824.84987,8.298620224
84342.28722,8.009152412
84859.72456,7.267351627
85377.16191,6.443258762
85894.59925,6.019194603
86412.03659,6.162995338
86929.47394,6.686830521
87446.91128,6.980935097
87964.34863,7.037493229
88481.78597,7.227861881
88999.22332,7.331454754
89516.66066,7.049175739
90034.09801,6.462583542
90551.53535,5.675160885
