dist,thickness,smb,velocity
0,53.6390304565429,-5357.7314453125,76.744568071343
500,93.4573836862025,-5195.42244548135,83.0095331553492
1000,129.971124149748,-5033.1134456502,89.2744982393554
1500,156.355416093567,-4870.80444581905,95.5394633233617
2000,190.03934099745,-4744.25247586817,105.038002169481
2500,214.092143821867,-4626.05778233522,115.292304842691
3000,238.672581131445,-4507.86308880226,125.546607515901
3500,252.096777045052,-4467.34958793647,133.011125443518
4000,263.13643392328,-4474.22360831132,138.773803075568
4500,275.919083011752,-4481.09762868617,144.536480707618
5000,296.338817564485,-4443.86176037451,145.301379702685
5500,318.598174333588,-4348.54964520853,139.486071073394
6000,378.021592024191,-4253.23753004256,133.670762444102
6500,403.943832692824,-4120.11454498862,124.15639842204
7000,415.572260962571,-3964.24857523572,112.417077385032
7500,400.462931689955,-3808.38260548281,100.677756348025
8000,368.604465098933,-3704.13473087322,95.9707405488479
8500,340.134468788062,-3611.43548387209,92.8370775476621
9000,297.855136047842,-3517.67658016704,89.8421474634373
9500,293.281411306671,-3318.23611875711,100.683312328812
10000,277.598298470594,-3118.79565734718,111.524477194187
10500,263.947998970429,-2959.99829533329,121.236087760198
11000,258.150949101067,-2887.97426275205,128.536091219779
11500,255.703831068448,-2815.95023017082,135.836094679361
12000,255.421487617418,-2751.10292916834,133.528861521571
12500,260.958353514713,-2690.50627402708,125.531439157574
13000,278.611763578934,-2629.90961888582,117.534016793577
13500,301.827084748827,-2560.09711570122,116.948343635701
14000,338.596580921474,-2489.66582477735,116.860324032199
14500,379.791876432278,-2409.44527001191,116.923044304691
15000,409.638522158599,-2304.47440667387,117.366881942639
15500,420.732366473764,-2199.50354333583,117.810719580587
16000,429.556790666058,-2192.11563500043,115.168914664122
16500,440.362407422766,-2242.09673974602,110.713060684863
17000,454.070562950269,-2292.07784449162,106.257206705603
17500,466.473376704938,-2278.43663581003,103.859430693145
18000,474.537297786813,-2263.23785757311,101.512039512846
18500,492.446365496193,-2214.88873361238,98.127009699094
19000,515.770380113461,-2146.59763024521,94.1177761912984
19500,525.840753734145,-2090.79629639445,91.2036184567644
20000,531.860858118614,-2068.30936327552,91.210394779037
20500,530.369613314092,-2045.8224301566,91.2171711013096
21000,528.195685657005,-1996.67350006833,89.1070242918864
21500,525.173858144394,-1945.23648844718,86.8152071923599
22000,519.367436641257,-1939.27186243999,86.3538124160985
22500,509.673189509509,-1967.71584791261,87.2774844164058
23000,497.967748581605,-1980.97537341602,86.746590025133
23500,498.268061191905,-1939.61814474682,80.9837878019253
24000,509.036246156179,-1897.65169910938,75.2668764843699
24500,526.0630771403,-1811.06639325189,72.9110007442618
25000,541.488933435588,-1724.4810873944,70.5551250041538
25500,551.445094153319,-1732.02933534716,68.8377184483223
26000,552.578966558635,-1761.74427720972,67.270659461512
26500,554.70847197256,-1759.07033503907,67.4754167775662
27000,557.887005115687,-1735.27932942656,68.8353715754642
27500,559.826038944047,-1708.48811300374,68.222567709007
28000,560.861485514875,-1677.22020122044,64.6661575033952
28500,561.723928231631,-1643.50717759219,63.9837919625
29000,561.856175866508,-1605.37320344816,68.4979205080038
29500,561.475141126042,-1557.78943889617,71.079307678673
30000,564.370425874384,-1489.2671118341,69.378184407767
30500,573.487111192454,-1439.47950700022,68.0665046808271
31000,586.389022763922,-1441.43631059949,67.8304494310042
31500,599.769313168443,-1439.39726027815,67.5010846973327
32000,607.181217399214,-1423.24634867722,66.842185771894
32500,612.268053951949,-1408.72555273906,65.9494842886076
33000,622.28637133512,-1401.86181820105,63.9585536539533
33500,636.102955651068,-1402.71465196974,62.3014466552139
34000,651.465338179933,-1455.03831722104,62.8710004500006
34500,670.105110717435,-1499.972268705,63.429626878354
35000,694.165478609108,-1465.58978979709,63.8709659899911
35500,714.232372285145,-1432.39182944577,64.2567512757172
36000,735.737258274319,-1427.56392510432,63.311983195352
36500,757.972720872285,-1422.73602076287,62.3672151149868
