Date,T_surf,T_sub,T_air,SW_d,SW_u,LW_d,LW_u,SHF,LHF,dH
1/1/2018 0:00,-27.6442,-14.0032,-26.2594,0,0,174.482,205.0394,26.8607,-2.782,-11.2455
1/1/2018 1:00,-27.9806,-14.0032,-26.3848,0,0,153.9255,203.3322,32.4113,-2.2247,-11.2452
1/1/2018 2:00,-28.4944,-14.011,-26.4589,0,0,146.8652,201.4559,42.2969,-1.8125,-11.2469
1/1/2018 3:00,-28.88,-14.0206,-26.7486,0,0,137.0081,199.9214,48.0196,-1.7957,-11.2487
1/1/2018 4:00,-28.2279,-14.0341,-26.6308,0,0,151.1699,202.4456,44.0343,-3.641,-11.2464
1/1/2018 5:00,-28.5439,-14.0457,-27.4809,0,0,146.2124,201.2792,33.8852,-4.7526,-11.2447
1/1/2018 6:00,-29.2229,-14.061,-27.8404,0,0,128.3325,198.5633,43.5315,-3.7497,-11.2381
1/1/2018 7:00,-29.4718,-14.0801,-28.3675,0,0,131.8588,197.8759,37.5167,-4.2261,-11.2338
1/1/2018 8:00,-29.7916,-14.0988,-29.0031,0,0,129.6943,196.7946,29.4512,-4.6721,-11.2405
1/1/2018 9:00,-30.2052,-14.1182,-28.8238,0,0,123.5228,195.302,45.6734,-2.8466,-11.2407
1/1/2018 10:00,-30.7447,-14.1383,-29.4719,0,0,126.6246,193.6985,40.5942,-2.1855,-11.2383
1/1/2018 11:00,-30.8847,-14.1578,-29.4023,0,0,124.0577,193.1829,46.4823,-1.8891,-11.2398
1/1/2018 12:00,-31.2694,-14.175,-29.5046,0,0,122.6381,191.94,50.3851,-1.206,-11.2373
1/1/2018 13:00,-30.8716,-14.2002,-29.0544,0,0,123.2999,193.2015,54.1521,-1.6584,-11.242
1/1/2018 14:00,-30.487,-14.2195,-28.7166,0,0,123.9251,194.4265,54.0831,-2.5685,-11.242
1/1/2018 15:00,-30.2141,-14.2452,-28.7189,0,0,123.3575,195.2682,49.061,-3.4577,-11.2358
1/1/2018 16:00,-30.2841,-14.2693,-28.5887,0,0,126.244,195.136,52.9123,-2.9434,-11.2391
1/1/2018 17:00,-29.3732,-14.3,-27.6807,0,0,142.8438,198.5212,54.3313,-3.3126,-11.2395
1/1/2018 18:00,-29.134,-14.3282,-27.7044,0,0,141.7097,199.2488,47.2497,-4.2985,-11.2361
1/1/2018 19:00,-29.6493,-14.3605,-28.263,0,0,129.2946,197.2341,47.7094,-3.9289,-11.237
1/1/2018 20:00,-29.8634,-14.3886,-28.2304,0,0,122.2287,196.343,55.4534,-3.2854,-11.2472
1/1/2018 21:00,-29.9752,-14.418,-28.2939,0,0,121.6035,195.9701,57.2347,-3.0914,-11.25
1/1/2018 22:00,-30.5979,-14.4483,-28.9834,0,0,121.3603,194.0014,51.7078,-2.12,-11.2514
1/1/2018 23:00,-30.754,-14.4743,-28.8788,0,0,122.0695,193.533,55.1705,-1.431,-11.2517
1/2/2018 0:00,-30.5918,-14.501,-28.6294,0,0,122.2837,194.049,57.2969,-1.6224,-11.2503
1/2/2018 1:00,-31.5554,-14.5284,-29.236,0,0,122.0196,191.0329,55.5287,-0.5811,-11.2504
1/2/2018 2:00,-31.4262,-14.5481,-28.7313,0,0,125.6476,191.5444,60.1048,-0.5681,-11.2492
