distance,surface,bed
0,2022.960324,800.0003235
50,2022.849258,802.5036021
100,2022.709951,804.7861699
150,2022.545796,806.7389247
200,2022.290645,808.3103492
250,2021.957014,809.5028093
300,2021.554327,810.358465
350,2021.145527,810.8344298
400,2020.721524,810.971191
450,2020.271106,810.7683366
500,2019.792272,810.2151504
550,2019.303831,809.4812084
600,2018.803783,808.4883645
650,2018.220128,807.0903479
700,2017.552512,805.4616806
750,2016.80865,803.5850041
800,2016.068287,801.5758518
850,2015.349638,799.5885555
900,2014.652842,797.6840303
950,2013.977858,795.8724719
1000,2013.321705,794.1428543
1050,2012.673967,792.4779081
1100,2012.020064,790.877439
1150,2011.353676,789.3171221
1200,2010.67798,787.7997808
1250,2010.013466,786.3305443
1300,2009.363197,784.9025002
1350,2008.726101,783.5235688
1400,2008.105092,782.2186966
1450,2007.494115,780.9697429
1500,2006.806131,780.1083524
1550,2006.042785,779.4139059
1600,2005.198298,778.6707163
1650,2004.372748,777.9777738
1700,2003.455325,777.3422152
1750,2002.563229,776.7945803
1800,2001.715762,776.3405172
1850,2000.8403,775.8671145
1900,1999.991405,775.3661991
1950,1999.148094,774.8275284
2000,1998.302622,774.2743571
2050,1997.459891,773.6288228
2100,1996.564434,772.8288749
2150,1995.641119,771.8967281
2200,1994.718965,770.8942645
2250,1993.813285,769.8189611
2300,1992.969756,768.7168285
2350,1992.100313,767.5355748
2400,1991.112596,766.2196711
2450,1990.252789,764.8850045
2500,1989.370955,763.4091373
2550,1988.545178,761.7705574
2600,1987.677766,759.8734562
2650,1986.858252,757.7585182
2700,1986.029253,755.4687683
2750,1985.174158,752.9943569
2800,1984.293616,750.4104117
2850,1983.394424,747.7487284
2900,1982.489681,745.0137922
2950,1981.605677,742.2391734
3000,1980.740447,739.4044074
3050,1979.901911,736.5330954
3100,1979.07002,733.6638957
3150,1978.250337,730.8593339
3200,1977.47869,728.1497137
3250,1976.745692,725.5223994
3300,1976.053204,723.0085709
3350,1975.35987,720.5735932
3400,1974.678688,718.2288048
3450,1974.016364,715.9626954
3500,1973.371647,713.7349094
3550,1972.754232,711.5720845
3600,1972.173146,709.5615868
3650,1971.686823,707.8305381
3700,1971.288382,706.3181458
3750,1970.950207,705.0312374
3800,1970.6209,703.9370311
3850,1970.286524,702.9433896
3900,1969.950571,702.0044486
3950,1969.610792,700.9928082
4000,1969.268425,699.8949134
4050,1968.932651,698.7207752
4100,1968.619849,697.5042163
4150,1968.332334,696.3100074
4200,1968.066659,695.135431
4250,1967.806465,693.9976289
4300,1967.547366,692.9268579
4350,1967.287652,691.9015211
4400,1967.030978,690.9282159
4450,1966.775692,689.9796844
4500,1966.527945,689.0023421
4550,1966.30523,687.9614798
4600,1966.111203,686.8646021
4650,1965.932553,685.7028118
4700,1965.73563,684.4772895
4750,1965.478137,683.1902736
4800,1965.148826,681.8315552
4850,1964.765404,680.4184372
4900,1964.369867,678.9396205
4950,1963.996268,677.4065488
5000,1963.643759,675.7470587
5050,1963.302746,673.9764237
5100,1962.957827,672.1767094
5150,1962.606547,670.3631265
5200,1962.230354,668.6196079
5250,1961.819589,666.8994598
5300,1961.375555,665.19848
5350,1960.90677,663.4794387
5400,1960.424118,661.7334936
5450,1959.928753,659.9575878
5500,1959.419468,658.14704
5550,1958.907161,656.3507552
5600,1958.401932,654.5713559
5650,1957.910385,652.8345731
5700,1957.427366,651.0682857
5750,1956.932766,649.2444329
5800,1956.4231,647.347931
5850,1955.8999,645.3921375
5900,1955.360892,643.4005554
5950,1954.805928,641.3786792
6000,1954.249506,639.3669706
6050,1953.703358,637.4044822
6100,1953.176459,635.5201602
6150,1952.664355,633.7222184
6200,1952.154434,632.0386799
6250,1951.622849,630.4593912
6300,1951.067598,628.9928172
6350,1950.490478,627.6803398
6400,1949.897941,626.5101513
6450,1949.307171,625.5135942
6500,1948.721223,624.7012891
6550,1948.116367,623.9743618
6600,1947.487248,623.2536147
6650,1946.837077,622.5003776
6700,1946.168913,621.633511
6750,1945.503107,620.6937894
6800,1944.83486,619.6771937
6850,1944.166878,618.6502144
6900,1943.491614,617.7104768
6950,1942.790845,617.036597
7000,1942.066704,616.5919846
7050,1941.315535,616.3001751
7100,1940.564633,616.1271725
7150,1939.811044,616.0453217
7200,1939.062087,616.0522166
7250,1938.30896,616.1038407
7300,1937.567614,616.1587701
7350,1936.818917,616.1985651
7400,1936.070718,616.2041285
7450,1935.323833,616.1644433
7500,1934.580024,616.1328319
7550,1933.83825,616.0899716
7600,1933.078856,615.9943457
7650,1932.305169,615.8430582
7700,1931.528559,615.6197464
7750,1930.764731,615.3011087
7800,1930.017629,614.8873271
7850,1929.252658,614.3659686
7900,1928.442585,613.7470205
7950,1927.588041,613.0103901
8000,1926.703581,612.1409906
8050,1925.809629,611.1515158
8100,1924.911157,609.9907541
8150,1924.025365,608.6242887
8200,1923.147124,607.0540727
8250,1922.268707,605.3736089
8300,1921.376979,603.6141813
8350,1920.463738,601.8058524
8400,1919.539493,599.9637642
8450,1918.617623,598.0777285
8500,1917.712199,596.1738702
8550,1916.805427,594.2506428
8600,1915.892631,592.3250853
8650,1914.96577,590.4205234
8700,1914.032486,588.550952
8750,1913.112815,586.7281503
8800,1912.203876,584.9888501
8850,1911.309416,583.3441287
8900,1910.434627,581.7714366
8950,1909.558256,580.2581578
9000,1908.660661,578.8071224
9050,1907.729178,577.3536204
9100,1906.764791,575.8345008
9150,1905.793807,574.2658207
9200,1904.851421,572.6441298
9250,1903.959339,570.9247098
9300,1903.12524,569.1275016
9350,1902.328005,567.2537976
9400,1901.551222,565.3170834
9450,1900.779732,563.3175605
9500,1900.018247,561.2925323
9550,1899.259182,559.2491571
9600,1898.510099,557.2567373
9650,1897.764055,555.3544211
9700,1897.023456,553.6172721
9750,1896.288361,551.9917956
9800,1895.558104,550.4213588
9850,1894.857207,548.8366924
9900,1894.185337,547.1193236
9950,1893.565258,545.1911907
10000,1892.994406,543.0848562
10050,1892.45434,540.8526577
10100,1891.937117,538.4888136
10150,1891.450513,535.9798924
10200,1890.984781,533.3219519
10250,1890.528469,530.5660686
10300,1890.070104,527.666502
10350,1889.614924,524.6833185
10400,1889.160894,521.6462814
10450,1888.708856,518.6290659
10500,1888.262885,515.6281561
10550,1887.843443,512.7457614
10600,1887.471122,510.033749
10650,1887.146615,507.4776315
10700,1886.85358,505.0626574
10750,1886.580234,502.8323257
10800,1886.313282,500.7078207
10850,1886.068529,498.66863
10900,1885.84949,496.6980394
10950,1885.650369,494.8204814
11000,1885.452021,493.0358901
11050,1885.245907,491.3513539
11100,1885.031314,489.7697559
11150,1884.806377,488.3186656
11200,1884.603481,486.9988984
11250,1884.440917,485.784561
11300,1884.333335,484.6813339
11350,1884.263163,483.682261
11400,1884.196167,482.7732645
11450,1884.115075,481.9565363
11500,1884.011544,481.234521
11550,1883.886928,480.5698659
11600,1883.74116,479.9589933
11650,1883.605971,479.3964088
11700,1883.498192,478.8905943
11750,1883.414839,478.4299031
11800,1883.336031,477.9691135
11850,1883.242075,477.5195234
11900,1883.149127,477.0815362
11950,1883.080026,476.5815326
12000,1883.040612,475.9795661
12050,1883.014695,475.2907848
12100,1882.990537,474.5463825
12150,1882.947227,473.7448998
12200,1882.869414,472.9482845
12250,1882.75228,472.1926082
12300,1882.608569,471.4812208
12350,1882.473349,470.8339019
12400,1882.357536,470.2640313
12450,1882.258761,469.7624152
12500,1882.162466,469.2985237
12550,1882.065067,468.8722004
12600,1881.967518,468.5044968
12650,1881.871658,468.1955475
12700,1881.778879,467.9465682
12750,1881.687651,467.6817648
12800,1881.580397,467.4117937
12850,1881.439389,467.1210303
12900,1881.262267,466.7857963
12950,1881.067714,466.4518458
13000,1880.821839,466.117874
13050,1880.487644,465.7888197
13100,1880.051581,465.453242
13150,1879.528143,465.1118139
13200,1879.004104,464.7813505
13250,1878.492263,464.4658432
13300,1877.998127,464.1696434
13350,1877.516575,463.8894926
13400,1877.051327,463.594856
13450,1876.589894,463.2651627
13500,1876.107612,462.8955528
13550,1875.592317,462.4720541
13600,1875.042235,461.9930087
