distance,elevation,dhdt,error,v,smb
0,48.908,-0.104,0.22,276.7229687,665.9163208
150,48.56159338,-0.107308785,0.283962286,278.1641707,665.3864136
300,48.13785566,-0.121155571,0.370799383,278.1641707,665.340046
450,47.74233694,-0.143258614,0.457457023,278.1641707,664.6550903
600,47.39811903,-0.174391441,0.551149393,278.7708628,664.3688337
750,47.13344286,-0.21060216,0.595567492,280.1292706,664.1125488
900,47.07326417,-0.219843124,0.72805787,280.3156031,663.6225208
1050,47.12570312,-0.21011138,1.047307299,280.3156031,663.529427
1200,47.3424327,-0.165827135,1.436753079,281.8526253,663.5609096
1350,47.68347287,-0.087354594,1.734988858,281.8650053,662.8197021
1500,48.10039304,0.009065085,1.899932734,282.8811004,662.8145169
1650,48.48861312,0.097805693,1.883217873,282.8811004,662.2675587
1800,48.80730739,0.172605002,1.667005369,284.4581545,662.2552886
1950,48.94915688,0.213079472,1.335945988,284.4581545,661.5270116
2100,48.95744472,0.220191075,1.025979885,284.4581545,661.5099964
2250,48.79961275,0.196960074,0.789260891,285.1281126,660.9296875
2400,48.58093892,0.158535367,0.6682436,286.3523837,660.3894808
2550,48.36217289,0.117261506,0.605174886,286.3960948,660.3379733
2700,48.15410816,0.079103878,0.532720129,287.9797829,659.6262206
2850,48.02400286,0.04980536,0.53,288.0739245,659.5836182
3000,47.94665989,0.028543681,0.586732473,288.0739245,658.9127291
3150,47.92024264,0.022265789,0.711739645,288.0739245,658.9616686
3300,47.93388123,0.030060581,0.823929601,289.685233,658.2705672
3450,47.90523382,0.042951969,0.839921352,290.6241877,658.217041
3600,47.79039797,0.057613865,0.754356019,290.7190857,657.4577689
3750,47.61293284,0.06691227,0.583193477,292.4001338,657.516882
3900,47.43753073,0.067721569,0.460918953,292.4001338,656.8297729
4050,47.33004813,0.061334528,0.500006364,292.4001338,656.6551057
4200,47.27996016,0.056330802,0.744932139,292.9841286,656.1174299
4350,47.22428613,0.039997068,0.961278277,294.1612625,655.7619763
4500,47.10719685,0.011123822,1.137431694,294.243896,655.4216309
4650,46.8672108,-0.044023633,1.29924336,294.243896,654.6500986
4800,46.59298173,-0.114707985,1.250368554,295.9038477,654.7762366
4950,46.41387935,-0.176319951,1.035317675,295.9039526,653.9922485
5100,46.34200791,-0.222994007,0.640750256,295.9039526,653.9922485
5250,46.52421148,-0.221973747,0.607651595,296.3590245,653.331665
5400,46.84223243,-0.179461825,0.858837309,298.0477542,653.331665
5550,47.14996476,-0.108559587,1.03509343,298.0477542,652.981665
5700,47.22995366,-0.035927578,1.00096976,298.8621065,652.5984417
5850,47.13941441,0.011423064,0.787677691,299.7509687,652.3958298
6000,46.70478051,0.017477094,0.715233305,299.977095,651.3956543
6150,46.1678732,-0.009002908,0.773425586,300.2482175,651.1237164
6300,45.69972997,-0.062666672,0.785367603,301.2243021,651.178894
6450,45.41778639,-0.115422718,0.635510816,301.817278,650.6502614
6600,45.39406896,-0.148769373,0.449213354,301.817278,650.4504515
6750,45.51970931,-0.185014656,0.224840011,301.817278,649.9425836
6900,45.75708866,-0.175491129,0.335676583,303.8418266,649.6754761
7050,46.04550308,-0.164676109,0.39,304.5056525,648.9930186
7200,46.38256057,-0.14864626,0.416109555,304.5056525,648.9108476
7350,46.72174511,-0.12313915,0.525107082,305.0207294,648.1806319
7500,47.04417819,-0.088277275,0.658748917,305.982388,648.2375488
7650,47.3157069,-0.039215405,0.764028845,306.3017638,647.7058955
7800,47.46105376,0.011537596,0.78,306.4730411,647.4769645
7950,47.42016791,0.049909014,0.711246313,307.6490084,646.8741297
8100,47.1595286,0.052743432,0.715923697,308.0124067,646.6801758
8250,46.7070412,0.024396624,0.959628238,308.0124067,645.9854014
8400,46.16171766,-0.050041711,1.229923176,308.3518947,645.9282227
8550,45.70505016,-0.139810942,1.164115757,310.1311389,645.100708
8700,45.34400954,-0.240998168,0.628170625,310.131161,645.1647276
8850,45.40826891,-0.228597288,0.487278492,310.2795382,645.1190182
9000,45.57781558,-0.195645364,0.371335771,310.6681314,644.9844248
9150,45.82262364,-0.147592111,0.278230698,311.2233159,644.7615645
9300,46.11266717,-0.089887249,0.20585151,311.871467,644.4510544
9450,46.41792026,-0.027980493,0.152086442,312.5389603,644.0535117
9600,46.70835702,0.032678439,0.114823729,313.1521709,643.5695534
9750,46.95395153,0.086639829,0.091951607,313.6374744,642.9997968
9900,47.12467788,0.12845396,0.081358311,313.9212461,642.3448588
10050,47.19768724,0.153051378,0.104873502,313.964768,641.1436635
10200,47.18082645,0.157419419,0.227698354,315.4119421,641.1105957
10350,47.05299867,0.133027679,0.481766569,315.4119421,640.7738029
10500,46.84831244,0.089691325,0.767982043,315.4119421,640.2775566
10650,46.52898123,0.015994136,1.020973895,316.2935654,639.7398528
10800,46.171975,-0.067320936,1.05024199,317.6862744,639.4378052
10950,45.87948853,-0.130783333,0.948436703,317.8139849,638.8426235
11100,45.65254487,-0.177766599,0.791396945,319.2260623,637.8359775
11250,45.50142244,-0.201377887,0.750425611,319.496418,637.743103
11400,45.40788783,-0.202712084,0.78,319.496418,637.5947193
11550,45.3126527,-0.200462436,0.74596636,320.5456723,636.883667
11700,45.23037659,-0.195076069,0.6554377,321.1456037,636.2866706
11850,45.19346092,-0.18927446,0.539659961,321.5168799,636.0264893
12000,45.20754353,-0.1851054,0.433863279,321.8470254,635.6926836
12150,45.32793349,-0.17875865,0.387690863,322.3921262,635.1574707
12300,45.49243227,-0.166791981,0.38387233,323.2134127,634.8555339
12450,45.6592287,-0.145176177,0.418456556,323.2134127,634.2831056
12600,45.82482135,-0.109600134,0.50467971,323.3658998,633.6183128
12750,46.00797105,-0.060071154,0.627515295,324.8766367,633.4025479
12900,46.19646241,-0.004620678,0.667726771,324.8766367,633.2864844
13050,46.40214353,0.048470291,0.613908205,324.8766367,632.4987339
13200,46.60137966,0.09039872,0.4726601,324.8766367,632.4796486
13350,46.7422018,0.11097136,0.361073757,327.962488,631.5984936
13500,46.81758572,0.109398734,0.340300636,327.9704791,631.5962524
13650,46.80609368,0.088270892,0.42572235,327.9704791,630.681112
13800,46.73487178,0.053338004,0.510900025,327.98452,630.6681132
13950,46.61694569,0.015665832,0.515597636,329.7672295,629.7875366
14100,46.4717338,-0.017880875,0.42113271,329.8948502,629.4634365
14250,46.30968123,-0.037940002,0.355156732,330.1363404,628.8501587
14400,46.15745363,-0.041851292,0.380762075,331.3310583,628.2493124
14550,46.0343145,-0.038875293,0.468433758,331.8684269,627.9254785
14700,46.0169594,-0.023268119,0.589948354,331.8684269,627.3217256
14850,46.06765207,-0.003963855,0.62,332.3956648,627.0042725
15000,46.15127241,0.004996472,0.599519282,334.0135903,626.9351856
15150,46.1905911,-0.001330717,0.574663548,334.0135903,626.0388794
15300,46.15282433,-0.021613091,0.54115771,334.0135903,625.982461
15450,45.95871449,-0.052360839,0.418623641,334.097385,625.0616455
15600,45.72774733,-0.072103422,0.283846537,335.2486872,625.0587678
15750,45.52109266,-0.073937864,0.23,335.2486872,624.7844849
15900,45.38363899,-0.061921596,0.228769667,335.2486872,624.0725098
16050,45.35138894,-0.044955984,0.205139318,335.6133708,623.7775082
16200,45.40577155,-0.031053181,0.159658404,337.2108887,623.0714722
16350,45.57078408,-0.020204102,0.165417107,337.6161141,622.7639634
16500,45.79138851,-0.005093203,0.276141751,337.6161141,622.1155093
16650,46.01118406,0.01800992,0.402987461,338.0766357,621.723759
16800,46.140958,0.042471215,0.424392034,338.993499,621.1417236
16950,46.14821472,0.055490999,0.427141349,338.993499,620.9031684
17100,46.0210606,0.056654986,0.493937073,339.3669525,620.1132813
17250,45.86736389,0.049765042,0.495737487,341.3751814,619.720643
17400,45.70357954,0.031682518,0.50874401,341.3751814,619.1921387
17550,45.56653477,0.006642379,0.564417624,341.7388601,618.2249379
17700,45.442184,-0.022838168,0.616982407,343.2880554,617.9725797
17850,45.28637136,-0.063399896,0.652962748,343.2880554,617.2230835
18000,45.15026648,-0.098280871,0.555138519,343.3577181,617.1159949
18150,45.0707999,-0.112955859,0.409301495,344.7770763,616.1641235
18300,45.05005431,-0.110802522,0.364121617,346.2251808,616.1052681
18450,45.11080257,-0.082530267,0.419455402,346.2251808,615.1952826
18600,45.18745587,-0.047181126,0.405136756,346.2756481,614.9551168
18750,45.21893697,-0.014722608,0.347845704,347.4384609,614.1610107
18900,45.19325084,0.002021093,0.301273907,348.5664018,613.8782409
19050,45.08725252,0.000825027,0.347383535,348.5664018,613.0756836
19200,44.97650738,-0.018584197,0.44923795,349.1385155,612.7398692
19350,44.94221239,-0.045146064,0.449297478,350.0293576,612.0628571
19500,44.96587917,-0.067949369,0.326567157,350.0293576,611.4589881
19650,45.02496884,-0.078075601,0.183867651,350.4608057,611.0394287
19800,45.06400719,-0.074065616,0.125425041,352.0621292,610.9674048
19950,45.06259056,-0.064272962,0.12,352.4047319,610.1578178
20100,45.03550149,-0.063716815,0.142706099,352.4047319,609.9283447
20250,45.03177638,-0.05775656,0.184765413,352.4047319,608.9016438
20400,45.08869588,-0.04473782,0.220867702,354.3571581,608.8062134
20550,45.20146358,-0.031939089,0.270098155,354.3571581,608.6614144
20700,45.32241852,-0.020401748,0.306160771,354.3571581,607.6730347
20850,45.43172787,-0.012732207,0.261183897,354.6234269,607.4331069
21000,45.45455305,-0.011497031,0.201302551,355.9365186,606.6307021
21150,45.3922983,-0.022512973,0.308243688,356.1874973,606.0661324
21300,45.25136564,-0.017298786,0.2171642,356.1874973,605.4773646
21450,45.07340441,-0.015676126,0.154026775,356.7765521,604.8590425
21600,44.90376525,-0.032804721,0.143496972,357.3844894,604.4190063
21750,44.77718013,-0.033825705,0.173537629,357.9979641,603.6705183
